 ahna amji mã to hajỹr,confiar em algo
hê xà,anel
ihkrã curan,terminar
to hahkre ,tentar
apyrên ijakry(ti),Muito obrigado!
atekjê,seus
awrỳc,Desça!
acàre,árvore de açúcar
ahkra(re),criança
ahna,bom
ahna to hajỹr,autorizar
ahna cô,suado 
ahna hàhtàt,manter-se
ahna ipijamãar,certo
ahna intoj,pular
ahna me ajpẽn par,combinar
ahna prãm,precisar de
ahna prãm xà,vontade
ahna to hàhpan,vender
ahna xwỳ,zombar
ãhã,não
ahcakàre,arbusto
ahcakrã,nublado
ahcakũm,nevoado
ahcakũm,"nevoado, nevoeiro, nebuloso, neblina"
ahcunĩ,floresta virgem
ahhêr,era ele
ahho,misturado junto
ahkê,sujar
ahkêt," arbusto, mato, varredora ou lixo do chão"
ahkêt," sujar como um porco faz sujeira numa poça de água], confundir, misturar"
ahkô,bicho que parece como um galho
ahkra,criança
ahkra(re,criança
ahkrêj,folhas mortas
ahkri ita kam,passar muito tempo até
ahkrỳ,cajueiro
ahna,"sobre, com respeito a, com referência a"
ahna acprêc,rejeitar
ahna ahkraj,fazer uma acusação geral
ahna amji jahkre,transformar-se em
ahna amji mã pa,preocupar-se acerca de algo
ahna amji mã to hajỹr,"esperar, achar, pensar que, confiar em alg, acreditar alg"
ahna amji na ihhi cuxêc,"esforçar-se, fazer o melhor possível, da melhor maneira, pelo melhor"
ahna amji pupun,experimentar ac
ahna amji tac,confrontar com raiva
ahna amji ton,comprometer-se a algo
ahna awcapi,"examinar ac/alg, experimentar, verificar"
ahna cator,"achar, encontrar alg"
ahna cô krẽr,"sustentado por, apoiado por, viver às custas de"
ahna cumã hakam to ipa,"inspecionar, verificar (se o trabalho for feito)"
ahna cumã to ihtẽm,"manter-se, abster-se"
ahna cunõ,dar porções
ahna hàhwỳr,pedir ac
ahna hamãr,deixar-lhe experimentar as consequências
ahna hàmjĩ,suspeitar disso (sem nomear a pessoa) 
ahna hamreare,inocente disto
ahna ihpahàm,envergonhado disso
ahna ihprãr,deixar escapar a oportunidade
ahna intoj,dançar
ahna intoj,"dançar, pular"
ahna iràn,"ajudar a completar o trabalho, ajudar, entrar no lugar para ajudar"
ahna prãm,"necessitar de, carente de, precisar de"
ahna ton,contratar alguém para
ahna xwỳ,"caluniar, difamar, infamar, escarnecer, zombar"
ahpar mã,rio abaixo
ahprà tyc,árvore marfim
ahpyhkrã,sombra
ahpytĩ,arbusto espesso
ahte,sozinho
ahtetet,plantas de folha verde
ahtĩ,espirro
ahtu,erva
ahtũm tu,há muito tempo
ahtũmre,"só um minuto mais tarde, já já"
ahtwỳr kô,São Luís
ahtyc kwỳj(jê),mulher/grupo de mulheres no pátio
ahtyc mã,"quintal, atrás da casa"
ajhê,correr
ajkam hapac,triste
ajkrut,dois
ajpẽn cajpar,oposto
ajpẽn kôt,atrás
ajpẽn par,planejar
ajco me toa ajco,não deixar de obedecer
ajhê,correr 
ajkam hàr ne nõ,"encurtada, pronta para atacar"
ajkẽ,pode ser que
ajpêan kôt,logo após
ajpên,em direção de
ajpẽn cakrỳn,zangado um com o outro
ajpẽn jarã,desigual
ajpẽn par,"concordar com alguma coisa, planejar, combinar"
ajpẽn pê ajrô,diferente do outro
Ajpujaje,Deus
ajtàxy,"maribondo de fogão, vespa, marimbondo"
ajte kôrti,existe muita sede
